rank,name,Spouse (or domestic partner) - Spouse,Breakup - Participant,Dated - Participant,Canoodled - Participant,score,profession,age
,,,,James Woods,,,,
,,,,Teri Hatcher,,,,
,,,,Teri Hatcher,,,,
,,,,Richard Dean Anderson,,,,
,,,,Teri Hatcher,,,,
,,,,Dean Cain,,,,
546,Joan Cusack,Joan Cusack,,,,3.63,"Actress, Singer (Cameo), Writer",49
,,"Richard ""Dick"" Burke",,,,,,
546,Rachel Griffiths,Andrew Taylor,,Rachel Griffiths,,3.63,"Actress, Director, Writer",43
,,Rachel Griffiths,,Eric Stoltz,,,,
,,,,Rachel Griffiths,,,,
,,,,Eric Stotlz,,,,
,,,,Jeremy Sisto,,,,
,,,,Rachel Griffiths,,,,
546,Brandon Routh,Courtney Ford,,,,3.63,"Actor, Producer",32
,,Brandon Routh,,,,,,
549,Brian Dennehy,Jennifer Arnott,,,,3.62,"Actor, Director, Producer, Singer (Cameo), Writer",74
,,Brian Dennehy,,,,,,
,,Judith Scheff,,,,,,
,,Brian Dennehy,,,,,,
549,Diego Luna,Diego Luna,,,,3.62,"Actor, Director, Producer",32
,,Camila Sodi,,,,,,
551,Brian Cox,Nicole Ansari-Cox,,,,3.61,"Actor, Singer (Cameo)",66
,,Brian Cox,,,,,,
,,Caroline Burt,,,,,,
,,Brian Cox,,,,,,
551,Vera Farmiga,Renn Hawkey,,,,3.61,Actress,38
,,Vera Farmiga,,,,,,
,,Sebastian Roché,,,,,,
,,Vera Farmiga,,,,,,
551,Cynthia Nixon,Christine Marinoni,Danny Mozes,Christina Marinoni,,3.61,"Actress, Singer (Cameo)",46
,,Cynthia Nixon,Cynthia Nixon,Cynthia Nixon,,,,
,,Danny Mozes,,Cynthia Nixon,,,,
,,Cynthia Nixon,,Danny Mozes,,,,
551,Chris Noth,Tara Wilson,,Chris Noth,,3.61,"Actor, Producer, Writer",57
,,Chris Noth,,Winona Ryder,,,,
,,,,Chris Noth,,,,
,,,,Beverly Johnson,,,,
,,,,Winona Ryder,,,,
,,,,Chris Noth,,,,
555,Andre Braugher,Ami Brabson,,,,3.6,"Actor, Director, Producer",50
,,Andre Braugher,,,,,,
555,Judy Davis,Judy Davis,,,,3.6,Actress,57
,,Colin Friels,,,,,,
555,Blake Lively,,Penn Dayton Badgley,Penn Dayton Badgley,Penn Dayton Badgley,3.6,Actress,24
,,,Blake Lively,Blake Lively,Blake Lively,,,
,,,,Kelly Blatz,,,,
,,,,Blake Lively,,,,
,,,,Blake Lively,,,,
,,,,Penn Dayton Badgley,,,,
558,Kyle MacLachlan,Desiree Gruber,,Kyle MacLachlan,,3.59,"Actor, Director, Singer (Cameo)",53
,,Kyle MacLachlan,,Heather Graham,,,,
,,Kyle MacLachlan,,Kyle MacLachlan,,,,
,,Linda Evangelista,,Lara Flynn Boyle,,,,
559,Shawn Wayans,Ursula Wayans,,,,3.58,"Actor, Director, Producer, Writer",43
,,Shawn Wayans,,,,,,
560,Isabelle Huppert,Ronald Chammah,,,,3.57,"Actress, Singer (Cameo)",59
,,Isabelle Huppert,,,,,,
560,Frank Langella,Whoopi Goldberg,,Whoopi Goldberg,,3.57,Actor,74
,,Frank Langella,,Frank Langella,,,,
,,Ruth Weil,,,,,,
,,Frank Langella,,,,,,
562,Daniel Brühl,,,,,3.56,Actor,34
562,Elisha Cuthbert,,,Dion Phaneuf,Sean Avery,3.56,"Actress, Producer, Singer (Cameo)",29
,,,,Elisha Cuthbert,Elisha Cuthbert,,,
,,,,Mike Komisarek,Andrew Keegan,,,
,,,,Elisha Cuthbert,Elisha Cuthbert,,,
,,,,Elisha Cuthbert,Trace Ayala,,,
,,,,Sean Avery,Elisha Cuthbert,,,
,,,,Elisha Cuthbert,Mike Komisarek,,,
,,,,Andrew Keegan,Elisha Cuthbert,,,
,,,,Elisha Cuthbert,Paris Hilton,,,
,,,,Emile Hirsch,Elisha Cuthbert,,,
,,,,Elisha Cuthbert,Emile Hirsch,,,
,,,,Trace Ayala,Elisha Cuthbert,,,
562,Kristin Davis,,Kristin Davis,Kristin Davis,,3.56,"Actress, Producer, Singer (Cameo)",47
,,,Steve Martin,Steve Martin,,,,
,,,,Kristin Davis,,,,
,,,,Alec Baldwin,,,,
,,,,Kristin Davis,,,,
,,,,Matt Crane,,,,
,,,,Kristin Davis,,,,
,,,,Scott Carter,,,,
,,,,Alec Baldwin,,,,
,,,,Kristin Davis,,,,
,,,,Kristin Davis,,,,
,,,,Tommy Burroughs,,,,
,,,,Steve Martin,,,,
,,,,Kristin Davis,,,,
,,,,Kristin Davis,,,,
,,,,Jeff Goldblum,,,,
,,,,Liev Schreiber,,,,
,,,,Kristin Davis,,,,
,,,,Kristin Davis,,,,
,,,,Reed Diamond,,,,
562,Jennifer Love Hewitt,,,Jennifer Love Hewitt,,3.56,"Actress, Producer, Singer (Cameo), Writer",33
,,,,Carson Daly,,,,
,,,,Jennifer Love Hewitt,,,,
,,,,Wilmer Valderrama,,,,
,,,,Jennifer Love Hewitt,,,,
,,,,Rich Cronin,,,,
,,,,Jamie Kennedy,,,,
,,,,Jennifer Love Hewitt,,,,
,,,,Jennifer Love Hewitt,,,,
,,,,Enrique Iglesias,,,,
,,,,Jennifer Love Hewitt,,,,
,,,,Ross McCall,,,,
,,,,John Cusack,,,,
,,,,Jennifer Love Hewitt,,,,
,,,,Jennifer Love Hewitt,,,,
,,,,Craig Bierko,,,,
,,,,Jennifer Love Hewitt,,,,
,,,,"Freddie Prinze, Jr.",,,,
,,,,Jennifer Love Hewitt,,,,
,,,,Kevin Ian Pardue,,,,
566,Gary Cole,Teddi Siddall,,,,3.54,Actor,55
,,Gary Cole,,,,,,
566,Ted Danson,Ted Danson,,Whoopi Goldberg,,3.54,"Actor, Producer, Singer (Cameo)",64
,,Mary Steenburgen,,Ted Danson,,,,
,,Casey Coates,,,,,,
,,Ted Danson,,,,,,
,,Ted Danson,,,,,,
,,Randy Danson,,,,,,
568,Janet Jackson,James DeBarge,,Janet Jackson,Janet Jackson,3.53,"Actress, Composer, Producer, Singer, Writer",46
,,Janet Jackson,,Gary DeVore,Matthew McConaughey,,,
,,Janet Jackson,,,,,,
,,Jermaine Dupri,,,,,,
,,Réne Elizondo,,,,,,
,,Janet Jackson,,,,,,
569,David Arquette,David Arquette,,Ellen Barkin,,3.52,"Actor, Director, Producer, Writer",40
,,Courteney Cox,,David Arquette,,,,
,,,,David Arquette,,,,
,,,,Alyssa Milano,,,,
,,,,David Arquette,,,,
,,,,Erin Everly,,,,
,,,,David Arquette,,,,
,,,,Ellen Barkin,,,,
,,,,David Arquette,,,,
,,,,Alyssa Milano,,,,
,,,,Drew Barrymore,,,,
,,,,David Arquette,,,,
,,,,Charlize Theron,,,,
,,,,David Arquette,,,,
570,Tony Leung Chiu Wai,Carina Lau,,,,3.51,"Actor, Singer (Cameo)",50
,,Tony Leung Chiu Wai,,,,,,
570,Amber Tamblyn,,,Amber Tamblyn,,3.51,Actress,29
,,,,Kanye West,,,,
,,,,Amber Tamblyn,,,,
,,,,Shia LaBeouf,,,,
572,Sanaa Lathan,,,Sanaa Lathan,Wesley Snipes,3.5,"Actress, Producer",40
,,,,Omar Epps,Sanaa Lathan,,,
,,,,Sanaa Lathan,,,,
,,,,Terrell Owens,,,,
,,,,Sanaa Lathan,,,,
,,,,Regina Hall,,,,
,,,,Denzel Washington,,,,
,,,,Sanaa Lathan,,,,
,,,,Sanaa Lathan,,,,
,,,,Wale Ogunleye,,,,
572,Bridget Moynahan,,Bridget Moynahan,Tom Brady,,3.5,"Actress, Singer (Cameo)",41
,,,Tom Brady,Bridget Moynahan,,,,
572,"Freddie Prinze, Jr.","Freddie Prinze, Jr.",,Jennifer Love Hewitt,,3.5,"Actor, Producer, Singer (Cameo), Writer",36
,,Sarah Michelle Gellar,,"Freddie Prinze, Jr.",,,,
,,,,"Freddie Prinze, Jr.",,,,
,,,,Kimberly McCullough,,,,
572,Nick Stahl,Rose Murphy,,,,3.5,Actor,32
,,Nick Stahl,,,,,,
576,Snoop Dogg,Snoop Dogg,,,,3.49,"Actor, Composer, Director, Producer, Rapper, Singer, Writer",40
,,Shante Broadus,,,,,,
576,Campbell Scott,Anne Scott,Anne Scott,Patricia Clarkson,,3.49,"Actor, Director, Producer, Writer",51
,,Campbell Scott,Campbell Scott,Campbell Scott,,,,
,,Kathleen McElfresh,,Campbell Scott,,,,
,,Campbell Scott,,Ana Paula Lemes,,,,
,,,,Campbell Scott,,,,
,,,,Kyra Sedgwick,,,,
,,,,Campbell Scott,,,,
,,,,Kathleen McElfresh,,,,
,,,,Campbell Scott,,,,
578,Mary-Kate Olsen,,Max Winkler,Mary-Kate Olsen,Stavros Niachos,3.48,"Actress, Producer",26
,,,Mary-Kate Olsen,Jonah Hill,Mary-Kate Olsen,,,
,,,David Katzenberg,Max Snow,Stavros Niachos,,,
,,,Mary-Kate Olsen,Mary-Kate Olsen,Mary-Kate Olsen,,,
,,,Heath Ledger,Heath Ledger,Jonah Hill,,,
,,,Mary-Kate Olsen,Mary-Kate Olsen,Mary-Kate Olsen,,,
,,,Max Snow,Lapo Elkann,Stavros Niarchos III,,,
,,,Mary-Kate Olsen,Mary-Kate Olsen,Mary-Kate Olsen,,,
,,,Ali Fatourechi,Richie Akiva,,,,
,,,Mary-Kate Olsen,Mary-Kate Olsen,,,,
,,,Mary-Kate Olsen,Ali Fatourechi,,,,
,,,Richie Akiva,Mary-Kate Olsen,,,,
,,,Mary-Kate Olsen,David Katzenberg,,,,
,,,Jonah Hill,Mary-Kate Olsen,,,,
,,,Mary-Kate Olsen,Max Winkler,,,,
,,,Stavros Niarchos III,Mary-Kate Olsen,,,,
,,,Mary-Kate Olsen,Stavros Niarchos III,,,,
,,,,Mary-Kate Olsen,,,,
,,,,Nate Lowman,,,,
,,,,Mary-Kate Olsen,,,,
579,Daryl Hannah,,Jackson Browne,Daryl Hannah,David Blaine,3.47,"Actress, Director, Producer, Writer",51
,,,Daryl Hannah,Van Kilmer,Daryl Hannah,,,
,,,,"John F. Kennedy, Jr.",Dodi Al-Fayed,,,
,,,,Daryl Hannah,Daryl Hannah,,,
,,,,Brad Renfro,,,,
,,,,Daryl Hannah,,,,
,,,,Daryl Hannah,,,,
,,,,David Blaine,,,,
,,,,Daryl Hannah,,,,
,,,,Brad Renfro,,,,
,,,,Jackson Browne,,,,
,,,,Daryl Hannah,,,,
,,,,"John F. Kennedy, Jr.",,,,
,,,,Daryl Hannah,,,,
,,,,Warren Beatty,,,,
,,,,Daryl Hannah,,,,
,,,,Daryl Hannah,,,,
,,,,Sean MacPherson,,,,
,,,,Daryl Hannah,,,,
,,,,Chris Bensinger,,,,
579,Ice T,Coco Marie Austin,,,,3.47,"Actor, Composer, Producer, Rapper, Writer",54
,,Ice T,,,,,,
,,Ice T,,,,,,
,,Darlene Ortiz,,,,,,
581,Jon Bon Jovi,Dorothea Hurley,,Diane Lane,,3.45,"Actor, Composer, Musician, Singer",50
,,Jon Bon Jovi,,Jon Bon Jovi,,,,
581,Edie Falco,,,,,3.45,"Actress, Singer (Cameo)",49
583,Olivier Martinez,Olivier Martinez,,Angelina Jolie,Michelle Rodriguez,3.44,Actor,46
,,Halle Berry,,Olivier Martinez,Olivier Martinez,,,
,,Olivier Martinez,,Olivier Martinez,,,,
,,Juliette Binoche,,Sarai Givaty,,,,
,,,,Olivier Martinez,,,,
,,,,Juliette Binoche,,,,
,,,,Olivier Martinez,,,,
,,,,Kylie Minogue,,,,
,,,,Olivier Martinez,,,,
,,,,Mira Sorvino,,,,
,,,,Olivier Martinez,,,,
583,Raven-Symoné,,,,Raven-Symoné,3.44,"Actor, Producer, Singer (Cameo)",26
,,,,,Corbin Bleu,,,
,,,,,Lil Wayne,,,
,,,,,Raven-Symoné,,,
583,Blair Underwood,Desiree DaCosta,,,,3.44,Actor,47
,,Blair Underwood,,,,,,
586,Tony Jaa,,,,,3.43,"Actor, Director",36
586,James Earl Jones,Cecilia Hart,,,,3.43,Actor,81
,,James Earl Jones,,,,,,
,,Julienne Marie,,,,,,
,,James Earl Jones,,,,,,
588,James Cromwell,James Cromwell,,,,3.42,"Actor, Producer",72
,,Julie Cobb,,,,,,
,,Anne Ulvestad,,,,,,
,,James Cromwell,,,,,,
588,Franka Potente,,,Elijah Wood,,3.42,"Actress, Director, Singer (Cameo), Writer",38
,,,,Franka Potente,,,,
,,,,Tom Tykwer,,,,
,,,,Franka Potente,,,,
,,,,Dio Hauser,,,,
,,,,Franka Potente,,,,
590,Peter Dinklage,Erica Schmidt,,,,3.41,Actor,43
,,Peter Dinklage,,,,,,
590,Adrian Grenier,,,Paris Hilton,Hannah Cornett,3.41,"Actor, Director, Producer, Writer",36
,,,,Adrian Grenier,Adrian Grenier,,,
,,,,Beau Garrett,Moira Greenspun,,,
,,,,Adrian Grenier,Adrian Grenier,,,
,,,,Melissa Joan Hart,Lindsay Lohan,,,
,,,,Adrian Grenier,Adrian Grenier,,,
,,,,Adrian Grenier,Beau Garrett,,,
,,,,Melissa Keller,Adrian Grenier,,,
,,,,Lindsay Lohan,Melissa Keller,,,
,,,,Adrian Grenier,Adrian Grenier,,,
,,,,Adrian Grenier,Adrian Grenier,,,
,,,,Moira Greenspun,Paris Hilton,,,
,,,,Adrian Grenier,Melissa Joan Hart,,,
,,,,Beau Garrett,Adrian Grenier,,,
,,,,Adrian Grenier,Kirsten Dunst,,,
,,,,Hillary Rowland,Adrian Grenier,,,
592,John Cho,Kerri Higuchi,,,,3.4,Actor,40
,,John Cho,,,,,,
592,Toby Jones,,,,,3.4,Actor,44
592,Anthony LaPaglia,Gia Carides,,,,3.4,"Actor, Producer, Writer",53
,,Anthony LaPaglia,,,,,,
,,Cherie Michan,,,,,,
,,Anthony LaPaglia,,,,,,
595,Ioan Gruffudd,Alice Evans,,,,3.39,"Actor, Singer (Cameo)",38
,,Ioan Gruffudd,,,,,,
595,Diane Kruger,Diane Kruger,,Joshua Jackson,Joshua Jackson,3.39,"Actress, Producer",36
,,Guillaume Canet,,Diane Kruger,Diane Kruger,,,
,,Diane Kruger,,Joshua Jackson,Diane Kruger,,,
,,Joshua Jackson,,Diane Kruger,Jack Huston,,,
595,Terence Stamp,Elizabeth O Rourke,,Terence Stamp,,3.39,Actor,73
,,Terence Stamp,,Candice Bergen,,,,
598,Albert Finney,Anouk Aimée,,,,3.38,"Actor, Director, Producer, Singer (Cameo)",76
,,Albert Finney,,,,,,
,,Albert Finney,,,,,,
,,Jane Wenham,,,,,,
,,Pene Delmage,,,,,,
,,Albert Finney,,,,,,
599,Chace Crawford,,,Chace Crawford,Chace Crawford,3.37,Actor,27
,,,,Carrie Underwood,Carrie Underwood,,,
,,,,Leona Lewis,Leona Lewis,,,
,,,,Chace Crawford,Chace Crawford,,,
,,,,Taylor Momsen,Drew Barrymore,,,
,,,,Chace Crawford,Chace Crawford,,,
,,,,Carrie Underwood,Lindsay Lohan,,,
,,,,Chace Crawford,Chace Crawford,,,
,,,,Chace Crawford,Taylor Swift,,,
,,,,,Chace Crawford,,,
,,,,,Chace Crawford,,,
,,,,,Taylor Momsen,,,
,,,,,Chace Crawford,,,
,,,,,Kaley Cuoco,,,
599,Peter Fonda,Susan Brewer,,,,3.37,"Actor, Director, Producer, Writer",72
,,Peter Fonda,,,,,,
,,Portia Rebecca Crockett,,,,,,
,,Peter Fonda,,,,,,
,,Margaret (Parky) DeVogelaere,,,,,,
,,Peter Fonda,,,,,,
599,Lauren Graham,,,Matthew Perry,,3.37,"Actress, Producer, Singer (Cameo)",45
,,,,Lauren Graham,,,,
,,,,Lauren Graham,,,,
,,,,Tate Donovan,,,,
,,,,Lauren Graham,,,,
,,,,Robert Maschio,,,,
,,,,Matthew Perry,,,,
,,,,Meg Ryan,,,,
,,,,Julia Roberts,,,,
,,,,Lauren Graham,,,,
,,,,Yasmine Bleeth,,,,
,,,,Rachel Dunn,,,,
,,,,Renée Zellweger,,,,
,,,,Elizabeth Hurley,,,,
599,Mena Suvari,Simone Sestito,,Mena Suvari,,3.37,Actress,33
,,Mena Suvari,,Jamie Kennedy,,,,
,,Robert Brinkmann,,Mena Suvari,,,,
,,Mena Suvari,,Mike Carrasco,,,,
603,Alexis Bledel,,,Milo Ventimiglia,,3.36,Actress,30
,,,,Alexis Bledel,,,,
,,,,Milo Ventimiglia,,,,
,,,,Alexis Bledel,,,,
603,Beau Bridges,Wendy Treece,,,,3.36,"Actor, Director, Producer, Singer (Cameo)",70
,,Beau Bridges,,,,,,
,,Julie Landfield,,,,,,
,,Beau Bridges,,,,,,
605,Jason Isaacs,Emma Hewitt,,,,3.35,"Actor, Singer (Cameo)",49
,,Jason Isaacs,,,,,,
605,Jena Malone,,,Erik von Detten,,3.35,"Actress, Producer",27
,,,,Jena Malone,,,,
607,Danny McBride,Gia Ruiz,,,,3.34,"Actor, Producer, Writer",35
,,Danny McBride,,,,,,
607,Dominic Monaghan,,,Evangeline Lilly,,3.34,Actor,35
,,,,Dominic Monaghan,,,,
,,,,Dominic Monaghan,,,,
,,,,Evangeline Lilly,,,,
609,Robbie Coltrane,Rhona Gemmell,,,,3.33,"Actor, Director, Producer, Writer",62
,,Robbie Coltrane,,,,,,
609,Hugh Dancy,Hugh Dancy,,Hugh Dancy,,3.33,Actor,37
,,Claire Danes,,Claire Danes,,,,
,,,,Hugh Dancy,,,,
,,,,Anne Hathaway,,,,
,,,,Claire Danes,,,,
,,,,Hugh Dancy,,,,
609,James Purefoy,Holly Aird,,,,3.33,Actor,48
,,James Purefoy,,,,,,
,,Fay Ripley,,,,,,
,,James Purefoy,,,,,,
,,Jessica Adams,,,,,,
,,James Purefoy,,,,,,
609,Miranda Richardson,,,,,3.33,"Actress, Singer (Cameo)",54
609,Alicia Silverstone,Christopher Jarecki,,Alicia Silverstone,,3.33,"Actress, Producer",35
,,Alicia Silverstone,,Paul Rudd,,,,
,,,,Leonardo DiCaprio,,,,
,,,,Alicia Silverstone,,,,
614,James Brolin,James Brolin,,,,3.32,"Actor, Director, Producer",72
,,Barbra Streisand,,,,,,
,,Jane Cameron Agee,,,,,,
,,James Brolin,,,,,,
,,Jan Smithers,,,,,,
,,James Brolin,,,,,,
614,Jackie Earle Haley,Sherry Vaughan,,,,3.32,"Actor, Writer",51
,,Jackie Earle Haley,,,,,,
,,Amelia Cruz,,,,,,
,,Jackie Earle Haley,,,,,,
616,Cary Elwes,Cary Elwes,,,,3.31,"Actor, Producer",49
,,Lisa Marie Kubikoff,,,,,,
616,Steven Seagal,Kelly LeBrock,,,,3.31,"Actor, Director, Producer, Singer (Cameo), Writer",61
,,Steven Seagal,,,,,,
,,Adrienne La Russa,,,,,,
,,Steven Seagal,,,,,,
,,Miyako Fujitani,,,,,,
,,Steven Seagal,,,,,,
,,Erdenetuya Seagal,,,,,,
,,Steven Seagal,,,,,,
618,Jon Cryer,Lisa Joyner,,,,3.3,"Actor, Director, Producer, Writer",47
,,Jon Cryer,,,,,,
,,Sarah Trigger,,,,,,
,,Jon Cryer,,,,,,
618,Shirley MacLaine,Steve Parker,,Alain Delon,,3.3,"Actress, Director, Producer, Singer (Cameo), Writer",78
,,Shirley MacLaine,,Shirley MacLaine,,,,
620,Sean Astin,Christine Harrell,,,,3.29,"Actor, Director, Producer, Writer",41
,,Sean Astin,,,,,,
620,Richard E. Grant,Joan Washington,,,,3.29,"Actor, Director, Singer (Cameo), Writer",55
,,Richard E. Grant,,,,,,
622,Christopher Meloni,Christopher Meloni,,,,3.28,Actor,51
,,Sherman Williams,,,,,,
623,Mischa Barton,,Mischa Barton,Mischa Barton,,3.27,Actress,26
,,,Brandon Davis,Cisco Adler,,,,
,,,,Mischa Barton,,,,
,,,,Brandon Davis,,,,
,,,,Mischa Barton,,,,
,,,,Benjamin McKenzie,,,,
,,,,Mischa Barton,,,,
,,,,Brandon Davis,,,,
,,,,Mischa Barton,,,,
,,,,Jamie Dornan,,,,
,,,,Mischa Barton,,,,
,,,,Cisco Adler,,,,
623,Sean Bean,Sean Bean,,,,3.27,Actor,53
,,Abigail Cruttenden,,,,,,
,,Melanie Hill,,,,,,
,,Sean Bean,,,,,,
,,Debra James,,,,,,
,,Sean Bean,,,,,,
,,Georgina Sutcliffe,,,,,,
,,Sean Bean,,,,,,
623,Vanessa Hudgens,,,Vanessa Hudgens,Vanessa Hudgens,3.27,"Actress, Singer",23
,,,,Zac Efron,Zac Efron,,,
626,Camilla Belle,,Camilla Belle,Joe Jonas,,3.26,Actress,25
,,,Joe Jonas,Camilla Belle,,,,
,,,,Robert Pattinson,,,,
,,,,Camilla Belle,,,,
,,,,Fernando Verdasco,,,,
,,,,Camilla Belle,,,,
627,Eva Green,,,Marton Csokas,,3.25,Actress,32
,,,,Eva Green,,,,
627,Stuart Townsend,Stuart Townsend,,Charlize Theron,,3.25,Actor,39
,,Charlize Theron,,Stuart Townsend,,,,
,,,,Parker Posey,,,,
,,,,Stuart Townsend,,,,
629,Anthony Anderson,Alvina Stewart,,,,3.24,Actor,41
,,Anthony Anderson,,,,,,
629,Patricia Arquette,Patricia Arquette,,Matthew McConaughey,,3.24,Actress,44
,,Nicolas Cage,,Patricia Arquette,,,,
,,Thomas Jane,,Christian Slater,,,,
,,Patricia Arquette,,Patricia Arquette,,,,
,,,,Patricia Arquette,,,,
,,,,Paul Rossi,,,,
629,Michael Clarke Duncan,,,,,3.24,"Actor, Singer (Cameo)",54
629,Christopher Eccleston,,,,,3.24,Actor,48
629,Giancarlo Giannini,Eurilla del Bono,,,,3.24,"Actor, Director, Producer, Writer",69
,,Giancarlo Giannini,,,,,,
,,Livia Giampalmo,,,,,,
,,Giancarlo Giannini,,,,,,
629,Juliette Lewis,Steve Berra,,Juliette Lewis,,3.24,"Actress, Singer (Cameo)",39
,,Juliette Lewis,,Chuck Liddell,,,,
,,,,Gwyneth Paltrow,,,,
,,,,Geena Davis,,,,
,,,,Juliette Lewis,,,,
,,,,Brad Pitt,,,,
,,,,Juliette Lewis,,,,
,,,,Robin Givens,,,,
,,,,Juliette Lewis,,,,
,,,,Adam Sandler,,,,
,,,,Juliette Lewis,,,,
,,,,Chuck Liddell,,,,
,,,,Leonardo DiCaprio,,,,
,,,,Juliette Lewis,,,,
,,,,Adam Sandler,,,,
,,,,Juliette Lewis,,,,
629,Catherine O'Hara,Catherine O'Hara,,,,3.24,"Actress, Director, Singer (Cameo), Writer",58
,,Bo Welch,,,,,,
629,Gena Rowlands,John Cassavetes,,,,3.24,"Actress, Singer (Cameo), Writer",82
,,Gena Rowlands,,,,,,
629,Andy Serkis,Lorraine Ashbourne,,,,3.24,"Actor, Director",48
,,Andy Serkis,,,,,,
629,Noah Wyle,Tracy Warbin,,Noah Wyle,,3.24,"Actor, Director, Producer",41
,,Noah Wyle,,Samantha Mathis,,,,
639,Ian Holm,Penelope Wilton,,,,3.23,"Actor, Singer (Cameo)",80
,,Ian Holm,,,,,,
,,Sophie Baker,,,,,,
,,Ian Holm,,,,,,
,,Sophie de Stempel,,,,,,
,,Ian Holm,,,,,,
,,Lynn Mary Shaw,,,,,,
,,Ian Holm,,,,,,
639,Gabriel Macht,Gabriel Macht,,,,3.23,"Actor, Producer",40
,,Jacinda Barrett,,,,,,
641,Kieran Culkin,Kieran Culkin,,,,3.22,Actor,29
,,Tricia Dickson,,,,,,
641,Carmen Electra,Dave Navarro,Dave Navarro,Vin Diesel,Jamie Foxx,3.22,"Actress, Singer (Cameo)",40
,,Carmen Electra,Carmen Electra,Carmen Electra,Carmen Electra,,,
,,Dennis Rodman,Dennis Rodman,Carmen Electra,,,,
,,Carmen Electra,Carmen Electra,Fred Durst,,,,
,,,,Prince,,,,
,,,,Carmen Electra,,,,
,,,,Carmen Electra,,,,
,,,,Dennis Rodman,,,,
,,,,Carmen Electra,,,,
,,,,Fred Durst,,,,
,,,,Carmen Electra,,,,
,,,,Leonardo DiCaprio,,,,
,,,,Carmen Electra,,,,
,,,,Rob Patterson,,,,
,,,,Carmen Electra,,,,
,,,,Prince,,,,
,,,,Carmen Electra,,,,
,,,,David Spade,,,,
641,Chris O'Donnell,Caroline Fentress,,Drew Barrymore,,3.22,"Actor, Producer",42
,,Chris O'Donnell,,Chris O'Donnell,,,,
,,,,Reese Witherspoon,,,,
,,,,Chris O'Donnell,,,,
641,Catalina Sandino Moreno,,,,,3.22,Actress,31
645,Tom Arnold,Roseanne Barr,,,,3.21,"Actor, Comedian",53
,,Tom Arnold,,,,,,
,,Ashley Groussman,,,,,,
,,Tom Arnold,,,,,,
,,Shelby Roos,,,,,,
,,Tom Arnold,,,,,,
,,Julie Armstrong,,,,,,
,,Tom Arnold,,,,,,
,,Ashley Groussman,,,,,,
,,Tom Arnold,,,,,,
,,Shelby Roos,,,,,,
,,Tom Arnold,,,,,,
645,Paris Hilton,None,Paris Hilton,Paris Hilton,Paris Hilton,3.21,"Actress, Musician, Producer",31
,,Paris Hilton,Paris Hilton,Brody Jenner,Colin Farrell,,,
,,,Benji Madden,Paris Hilton,Paris Hilton,,,
,,,Doug Reinhardt,Chad Michael Murray,Brody Jenner,,,
,,,Paris Hilton,Paris Hilton,Paris Hilton,,,
,,,,Paris Hilton,Ashton Kutcher,,,
,,,,Doug Reinhardt,Paris Hilton,,,
,,,,Paris Hilton,Benji Madden,,,
,,,,Adrian Grenier,Andy Roddick,,,
,,,,Andy Roddick,Paris Hilton,,,
,,,,Paris Hilton,Mario López,,,
,,,,Nicolas Cage,Paris Hilton,,,
,,,,Paris Hilton,Vincent Gallo,,,
,,,,Val Kilmer,Paris Hilton,,,
,,,,Paris Hilton,Paris Hilton,,,
,,,,Adam Levine,Cisco Adler,,,
,,,,Paris Hilton,Nick Lachey,,,
,,,,Criss Angel,Paris Hilton,,,
,,,,Paris Hilton,Deryck Whibley,,,
,,,,,Paris Hilton,,,
645,Malcolm McDowell,Malcolm McDowell,,,,3.21,"Actor, Producer",69
,,Mary Steenburgen,,,,,,
,,Margot Bennett,,,,,,
,,Malcolm McDowell,,,,,,
,,Kelley Kuhr,,,,,,
,,Malcolm McDowell,,,,,,
648,Paddy Considine,Shelley Considine,,,,3.2,"Actor, Director, Writer",37
,,Paddy Considine,,,,,,
648,Vinnie Jones,Tanya Jones,,,,3.2,"Actor, Producer, Singer (Cameo)",47
,,Vinnie Jones,,,,,,
648,Leslie Mann,Judd Apatow,,,,3.2,Actress,40
,,Leslie Mann,,,,,,
648,Bradley Whitford,Jane Kaczmarek,,,,3.2,Actor,52
,,Bradley Whitford,,,,,,
652,Matt LeBlanc,Melissa McKnight,,Matt LeBlanc,,3.19,"Actor, Producer, Singer (Cameo)",45
,,Matt LeBlanc,,Andrea Anders,,,,
,,,,Kate Hudson,,,,
,,,,Matt LeBlanc,,,,
652,Michael McKean,Michael McKean,,,,3.19,"Actor, Composer, Director, Producer, Singer (Cameo), Writer",64
,,Annette O'Toole,,,,,,
,,Susan Russel,,,,,,
,,Michael McKean,,,,,,
652,Julian McMahon,Dannii Minogue,,Julian McMahon,,3.19,"Actor, Producer",43
,,Julian McMahon,,Shannen Doherty,,,,
,,Brooke Burns,,,,,,
,,Julian McMahon,,,,,,
652,Ron Perlman,Opal Perlman,,,,3.19,"Actor, Director, Writer",62
,,Ron Perlman,,,,,,
656,Emmanuelle Béart,Daniel Auteuil,,,,3.18,Actress,48
,,Emmanuelle Béart,,,,,,
,,Michael Cohen,,,,,,
,,Emmanuelle Béart,,,,,,
656,Vivica A. Fox,Christopher Harvest,,Vivica A. Fox,Quentin Tarantino,3.18,"Actress, Producer",47
,,Vivica A. Fox,,50 Cent,Vivica A. Fox,,,
,,,,Vivica A. Fox,,,,
,,,,Ne-Yo,,,,
,,,,Vivica A. Fox,,,,
,,,,Jamie Foxx,,,,
,,,,Dennis Rodman,,,,
