rank,name,Spouse (or domestic partner) - Spouse,Breakup - Participant,Dated - Participant,Canoodled - Participant,score,profession,age
,,,Jim Carrey,Tiffany O Silver,,,,
,,,Nicole Kidman,Jim Carrey,,,,
,,,Jim Carrey,Amanda Donohoe,,,,
,,,Linda Ronstadt,Jim Carrey,,,,
,,,Jim Carrey,Renée Zellweger,,,,
,,,Anine Bing,Jim Carrey,,,,
,,,Jim Carrey,Lauren Holly,,,,
,,,Tiffany O Silver,Jim Carrey,,,,
,,,Jim Carrey,Jenny McCarthy,,,,
,,,Lauren Holly,Jim Carrey,,,,
,,,Jim Carrey,Jim Carrey,,,,
,,,,Amanda Donohoe,,,,
,,,,Jim Carrey,,,,
,,,,Renée Zellweger,,,,
20,Clint Eastwood,Clint Eastwood,,,,9.33,"Actor, Composer, Director, Producer, Writer",82
,,Dina Eastwood,,,,,,
,,Maggie Johnson,,,,,,
,,Clint Eastwood,,,,,,
,,Clint Eastwood,,,,,,
,,Frances Fisher,,,,,,
21,Robert Downey Jr.,Robert Downey Jr.,,Uma Thurman,Calista Flockhart,9.29,"Actor, Producer, Singer (Cameo), Writer",47
,,Deborah Falconer,,Robert Downey Jr.,Robert Downey Jr.,,,
,,Robert Downey Jr.,,Robert Downey Jr.,,,,
,,Susan Downey,,Farrah Fawcett,,,,
,,,,Robert Downey Jr.,,,,
,,,,Maria Tomei,,,,
,,,,Sarah Jessica Parker,,,,
,,,,Robert Downey Jr.,,,,
22,Nicole Kidman,Tom Cruise,Nicole Kidman,Nicole Kidman,Q-Tip,9.27,"Actress, Producer, Singer (Cameo)",45
,,Nicole Kidman,Tom Cruise,Daniel Craig,Nicole Kidman,,,
,,Keith Urban,Nicole Kidman,Nicole Kidman,Russell Crowe,,,
,,Nicole Kidman,Jim Carrey,Jim Carrey,Nicole Kidman,,,
,,,,Nicole Kidman,,,,
,,,,Robbie Williams,,,,
,,,,Nicole Kidman,,,,
,,,,Jim Carrey,,,,
,,,,Nicole Kidman,,,,
,,,,Eric Watson,,,,
,,,,Nicole Kidman,,,,
,,,,Jude Law,,,,
,,,,Nicole Kidman,,,,
,,,,Vin Diesel,,,,
,,,,Nicole Kidman,,,,
,,,,Lenny Kravitz,,,,
,,,,Nicole Kidman,,,,
,,,,Marcus Graham,,,,
,,,,Nicole Kidman,,,,
,,,,Steve Bing,,,,
23,Bruce Willis,Bruce Willis,Bruce Willis,Bruce Willis,,9.16,"Actor, Director, Musician, Producer",57
,,Demi Moore,Demi Moore,Demi Moore,,,,
,,Bruce Willis,,Bruce Willis,,,,
,,Emma Heming,,Brooke Burns,,,,
,,,,Bruce Willis,,,,
,,,,Tamara Feldman,,,,
,,,,Tamara Witmer,,,,
,,,,Bruce Willis,,,,
,,,,Bruce Willis,,,,
,,,,Karen McDougal,,,,
,,,,Bruce Willis,,,,
,,,,Janice Dickinson,,,,
,,,,Bruce Willis,,,,
,,,,Kim Cattrall,,,,
,,,,Bruce Willis,,,,
,,,,Estella Warren,,,,
,,,,Bruce Willis,,,,
,,,,Louise Griffiths,,,,
,,,,Bruce Willis,,,,
,,,,Lara Flynn Boyle,,,,
24,Nicolas Cage,Patricia Arquette,,Nicolas Cage,Penélope Cruz,9.02,"Actor, Director, Producer, Singer (Cameo)",48
,,Nicolas Cage,,Brooke Shields,Nicolas Cage,,,
,,Lisa Marie Presley,,Nicolas Cage,Maria Conchita,,,
,,Nicolas Cage,,Paris Hilton,Nicolas Cage,,,
,,Alice Kim,,Jenna Jameson,Elizabeth McGovern,,,
,,Nicolas Cage,,Nicolas Cage,Nicolas Cage,,,
,,Christina Fulton,,Brooke Shields,,,,
,,Nicolas Cage,,Nicolas Cage,,,,
,,,,Nicolas Cage,,,,
,,,,Christina Fulton,,,,
,,,,Nicolas Cage,,,,
,,,,Kristen Zang,,,,
,,,,Paris Hilton,,,,
,,,,Nicolas Cage,,,,
,,,,Nicolas Cage,,,,
,,,,Lauren Dern,,,,
,,,,Jenny Wright,,,,
,,,,Nicolas Cage,,,,
,,,,Ami Dolenz,,,,
,,,,Nicolas Cage,,,,
25,Al Pacino,Beverly D'Angelo,Al Pacino,Al Pacino,Al Pacino,9,"Actor, Director, Producer, Writer",72
,,Al Pacino,Debra Winger,Debra Winger,Kirstie Alley,,,
,,,,Diane Keaton,,,,
,,,,Al Pacino,,,,
,,,,Jill Clayburgh,,,,
,,,,Al Pacino,,,,
,,,,Beverly D'Angelo,,,,
,,,,Al Pacino,,,,
,,,,Penelope Ann Miller,,,,
,,,,Al Pacino,,,,
,,,,Al Pacino,,,,
,,,,Tuesday Weld,,,,
,,,,Al Pacino,,,,
,,,,Marthe Keller,,,,
,,,,Al Pacino,,,,
,,,,Jan Tarrant,,,,
,,,,Al Pacino,,,,
,,,,Jill Clayburgh,,,,
,,,,Al Pacino,,,,
,,,,Penelope Ann Miller,,,,
26,Harrison Ford,Melissa Mathison,,Harrison Ford,,8.69,"Actor, Producer",70
,,Harrison Ford,,Carrie Fisher,,,,
,,Mary Marquardt,,Harrison Ford,,,,
,,Harrison Ford,,Minnie Driver,,,,
,,Calista Flockhart,,Calista Flockhart,,,,
,,Harrison Ford,,Harrison Ford,,,,
,,,,Harrison Ford,,,,
,,,,Lara Flynn Boyle,,,,
27,Keanu Reeves,,,Keanu Reeves,Carrie-Anne Moss,8.59,"Actor, Singer (Cameo)",47
,,,,Parker Posey,Keanu Reeves,,,
,,,,Keanu Reeves,Hallie Meyer-shyer,,,
,,,,Rachel Jones,Keanu Reeves,,,
,,,,Keanu Reeves,Rachel Jones,,,
,,,,Kelli Garner,Keanu Reeves,,,
,,,,Keanu Reeves,,,,
,,,,Autumn Macintosh,,,,
,,,,Keanu Reeves,,,,
,,,,Jennifer Syme,,,,
,,,,Keanu Reeves,,,,
,,,,Lynn Collins,,,,
,,,,Keanu Reeves,,,,
,,,,Jill Schoelen,,,,
,,,,Keanu Reeves,,,,
,,,,Sandra Bullock,,,,
,,,,Keanu Reeves,,,,
,,,,Diane Keaton,,,,
,,,,Keanu Reeves,,,,
,,,,Claire Forlani,,,,
28,Mel Gibson,Robyn Moore Gibson,,,,8.52,"Actor, Director, Producer, Singer (Cameo), Writer",56
,,Mel Gibson,,,,,,
29,Christian Bale,Sibi Blazic,,Sibi Blazic,Sibi Blazic,8.49,"Actor, Producer, Singer (Cameo)",38
,,Christian Bale,,Christian Bale,Christian Bale,,,
,,,,Christian Bale,,,,
,,,,Samantha Mathis,,,,
30,Tobey Maguire,Tobey Maguire,Tobey Maguire,Jennifer Meyer,Tobey Maguire,8.48,"Actor, Producer",37
,,Jennifer Meyer,Demi Moore,Tobey Maguire,Christina Aguilera,,,
,,,Rashida Jones,Tobey Maguire,Tobey Maguire,,,
,,,Tobey Maguire,Demi Moore,Demi Moore,,,
,,,Nicole Richie,Tobey Maguire,,,,
,,,Tobey Maguire,Christina Aguilera,,,,
,,,,Tobey Maguire,,,,
,,,,Nicole Richie,,,,
,,,,Tobey Maguire,,,,
,,,,Rashida Jones,,,,
,,,,Kirsten Dunst,,,,
,,,,Tobey Maguire,,,,
31,John Travolta,John Travolta,,Brooke Shields,,8.47,Actor,58
,,Kelly Preston,,John Travolta,,,,
,,,,John Travolta,,,,
,,,,Diana Hyland,,,,
32,Vince Vaughn,Kyla Weber,Jennifer Aniston,Jennifer Aniston,Vince Vaughn,8.39,Actor,42
,,Vince Vaughn,Vince Vaughn,Vince Vaughn,Vanessa L. Williams,,,
,,,,Kyla Weber,,,,
,,,,Vince Vaughn,,,,
,,,,Vince Vaughn,,,,
,,,,Joey Lauren Adams,,,,
,,,,Jennifer Aniston,,,,
,,,,Vince Vaughn,,,,
33,Shia LaBeouf,,,Amber Tamblyn,Shia LaBeouf,8.38,"Actor, Director, Producer, Singer (Cameo), Writer",26
,,,,Shia LaBeouf,Megan Fox,,,
,,,,Shia LaBeouf,Veronica Scott,,,
,,,,Eliska Amor,Shia LaBeouf,,,
,,,,Shia LaBeouf,Rihanna,,,
,,,,"Laurence Hastings, 1st Earl of Pembroke",Shia LaBeouf,,,
,,,,Shia LaBeouf,Amanda Bynes,,,
,,,,Mary-Kate Olsen,Shia LaBeouf,,,
,,,,Shia LaBeouf,Lawren Pope,,,
,,,,China Brezner,Shia LaBeouf,,,
,,,,Shia LaBeouf,,,,
,,,,Rihanna,,,,
34,Reese Witherspoon,Ryan Phillippe,,Reese Witherspoon,Jake Gyllenhaal,8.24,"Actress, Producer",36
,,Reese Witherspoon,,Jake Gyllenhaal,Reese Witherspoon,,,
,,Jim Toth,,Reese Witherspoon,,,,
,,Reese Witherspoon,,Jake Gyllenhaal,,,,
,,,,Reese Witherspoon,,,,
,,,,Jeremy Sisto,,,,
,,,,Reese Witherspoon,,,,
,,,,Mark Wahlberg,,,,
,,,,Reese Witherspoon,,,,
,,,,Jason London,,,,
,,,,Reese Witherspoon,,,,
,,,,Chris O'Donnell,,,,
35,Jackie Chan,Lin Feng-Jiao,,,,8.12,"Actor, Director, Producer, Singer (Cameo), Writer",58
,,Jackie Chan,,,,,,
36,Steve Carell,Steve Carell,,Steve Carell,,8.05,"Actor, Producer, Singer (Cameo), Writer",49
,,Nancy Walls,,Nancy Walls,,,,
36,Daniel Day-Lewis,Daniel Day-Lewis,,Julia Roberts,,8.05,Actor,55
,,Rebecca Miller,,Daniel Day-Lewis,,,,
,,Daniel Day-Lewis,,,,,,
,,Isabelle Adjani,,,,,,
38,Charlize Theron,Stuart Townsend,,Craig Bierko,Andrew Fletcher,8,Actress,36
,,Charlize Theron,,Charlize Theron,Charlize Theron,,,
,,,,Stephan Jenkins,Aaron Eckhart,,,
,,,,Charlize Theron,Charlize Theron,,,
,,,,Charlize Theron,Benicio del Toro,,,
,,,,Stuart Townsend,Charlize Theron,,,
,,,,Charlize Theron,Dwight Yoakam,,,
,,,,Craig Bierko,Charlize Theron,,,
,,,,Charlize Theron,George Clooney,,,
,,,,Stephan Jenkins,Charlize Theron,,,
,,,,Charlize Theron,,,,
,,,,David Arquette,,,,
,,,,Charlize Theron,,,,
,,,,George Clooney,,,,
39,Cate Blanchett,Cate Blanchett,,,,7.85,"Actress, Producer",43
,,Andrew Upton,,,,,,
40,Jodie Foster,,,Jodie Foster,Jodie Foster,7.78,"Actor, Director, Producer, Singer (Cameo)",49
,,,,Russell Crowe,Matthew McConaughey,,,
,,,,Jodie Foster,,,,
,,,,Cydney Bernard,,,,
,,,,Russell Crowe,,,,
,,,,Jodie Foster,,,,
40,Hugh Jackman,Deborra-Lee Furness,,,,7.78,"Actor, Producer, Singer (Cameo)",43
,,Hugh Jackman,,,,,,
40,Keira Knightley,,Del Synnott,Keira Knightley,,7.78,"Actress, Singer (Cameo)",27
,,,Keira Knightley,Adrien Brody,,,,
,,,Jamie Dorna,Jamie Dornan,,,,
,,,Keira Knightley,Keira Knightley,,,,
,,,,Del Synnott,,,,
,,,,Keira Knightley,,,,
,,,,Adrien Brody,,,,
,,,,Keira Knightley,,,,
,,,,Kaz James,,,,
,,,,Keira Knightley,,,,
,,,,Rupert Friend,,,,
,,,,Keira Knightley,,,,
,,,,Keira Knightley,,,,
,,,,Jamie Dornan,,,,
,,,,Keira Knightley,,,,
,,,,Del Synnott,,,,
,,,,Keira Knightley,,,,
,,,,Rupert Friend,,,,
,,,,Adrien Brody,,,,
,,,,Keira Knightley,,,,
40,Gwyneth Paltrow,Chris Martin,,Gwyneth Paltrow,Gwyneth Paltrow,7.78,"Actress, Director, Singer (Cameo), Writer",39
,,Gwyneth Paltrow,,Ben Affleck,Chris Martin,,,
,,,,Gwyneth Paltrow,,,,
,,,,Geena Davis,,,,
,,,,Juliette Lewis,,,,
,,,,Brad Pitt,,,,
,,,,Gwyneth Paltrow,,,,
,,,,Robin Givens,,,,
,,,,Ben Affleck,,,,
,,,,Gwyneth Paltrow,,,,
,,,,Mark Wahlberg,,,,
,,,,Gwyneth Paltrow,,,,
,,,,Gwyneth Paltrow,,,,
,,,,Brad Pitt,,,,
,,,,Gwyneth Paltrow,,,,
,,,,Luke Wilson,,,,
44,Drew Barrymore,Drew Barrymore,Drew Barrymore,Justin Long,Drew Barrymore,7.76,"Actress, Director, Producer",37
,,Tom Green,Tom Green,Drew Barrymore,Ed Westwick,,,
,,Jeremy Thomas,Drew Barrymore,Jamie Walters,Drew Barrymore,,,
,,Drew Barrymore,Fabrizio Moretti,Drew Barrymore,Chace Crawford,,,
,,Will Kopelman,Drew Barrymore,Fabrizio Moretti,Drew Barrymore,,,
,,Drew Barrymore,Drew Barrymore,Drew Barrymore,Jeremy Davies,,,
,,,Justin Long,Drew Barrymore,Drew Barrymore,,,
,,,Drew Barrymore,Zach Braff,Spike Jonze,,,
,,,,Drew Barrymore,Val Kilmer,,,
,,,,Balthazar Getty,Drew Barrymore,,,
,,,,Jamie Walters,Drew Barrymore,,,
,,,,Drew Barrymore,Zach Braff,,,
,,,,Justin Long,Joel Shearer,,,
,,,,Drew Barrymore,Drew Barrymore,,,
,,,,Drew Barrymore,Breckin Meyer,,,
,,,,Edward Norton,Drew Barrymore,,,
,,,,Drew Barrymore,Drew Barrymore,,,
,,,,Jamie Walters,Sam Rockwell,,,
,,,,Drew Barrymore,Steve Thomas,,,
,,,,Fabrizio Moretti,Drew Barrymore,,,
44,Sean Penn,Sean Penn,Sean Penn,Sean Penn,,7.76,"Actor, Director, Producer, Writer",51
,,Madonna,Jewel,Jewel,,,,
,,Sean Penn,,Sean Penn,,,,
,,Robin Wright,,Madonna,,,,
,,,,Sean Penn,,,,
,,,,Petra Němcová,,,,
,,,,Sean Penn,,,,
,,,,Susan Sarandon,,,,
,,,,Sean Penn,,,,
,,,,Naomi Campbell,,,,
,,,,Sean Penn,,,,
,,,,Jewel,,,,
,,,,Sean Penn,,,,
,,,,Elizabeth McGovern,,,,
46,Daniel Craig,Rachel Weisz,,Nicole Kidman,Satsuki Mitchell,7.73,"Actor, Producer, Singer (Cameo)",44
,,Daniel Craig,,Daniel Craig,Daniel Craig,,,
,,Fiona Loudon,,Kate Moss,Daniel Craig,,,
,,Daniel Craig,,Daniel Craig,Sienna Miller,,,
,,,,Daniel Craig,,,,
,,,,Sienna Miller,,,,
,,,,Heike Makatsch,,,,
,,,,Daniel Craig,,,,
47,Cameron Diaz,,Cameron Diaz,John Mayer,Paul Sculfor,7.72,"Actress, Model, Producer, Singer (Cameo)",39
,,,Justin Timberlake,Cameron Diaz,Cameron Diaz,,,
,,,,Paul Sculfor,Cameron Diaz,,,
,,,,Cameron Diaz,Tyrese Gibson,,,
,,,,Adam Levine,Jason Patric,,,
,,,,Cameron Diaz,Cameron Diaz,,,
,,,,Kevin Connolly,Cameron Diaz,,,
,,,,Cameron Diaz,Jude Law,,,
,,,,Scott Speedman,Cameron Diaz,,,
,,,,Cameron Diaz,Tyrese Gibson,,,
,,,,Cameron Diaz,Cameron Diaz,,,
,,,,Justin Timberlake,Scott Speedman,,,
,,,,Cameron Diaz,Cameron Diaz,,,
,,,,David Mayer de Rothschild,Bradley Cooper,,,
,,,,Cameron Diaz,Cameron Diaz,,,
,,,,Matt Dillon,Edward Norton,,,
,,,,Cameron Diaz,Jude Law,,,
,,,,Bradley Cooper,Cameron Diaz,,,
,,,,Cameron Diaz,Cameron Diaz,,,
,,,,Carlos de la Torre,Djimon Hounsou,,,
48,Mark Wahlberg,Rhea Durham,,Rhea Durham,Cynthia Kirchner,7.68,"Actor, Producer, Rapper, Singer (Cameo)",41
,,Mark Wahlberg,,Mark Wahlberg,Mark Wahlberg,,,
,,,,Jessica Alba,Mark Wahlberg,,,
,,,,Mark Wahlberg,Heather Graham,,,
,,,,Reese Witherspoon,Shannen Doherty,,,
,,,,Mark Wahlberg,Mark Wahlberg,,,
