Source,Target,Type,Id,Label,Weight
p86,p410,Undirected,285,,4.0
p87,p393,Undirected,286,,2.0
p89,p501,Undirected,287,,2.0
p90,p71,Undirected,288,,1.0
p90,p151,Undirected,289,,2.0
p90,p311,Undirected,290,,2.0
p91,p111,Undirected,291,,2.0
p91,p206,Undirected,292,,2.0
p91,p410,Undirected,293,,4.0
p91,p438,Undirected,294,,2.0
p93,p7,Undirected,295,,1.0
p93,p206,Undirected,296,,2.0
p94,p177,Undirected,297,,2.0
p94,p189,Undirected,298,,4.0
p95,p146,Undirected,299,,4.0
p95,p187,Undirected,300,,2.0
p96,p4,Undirected,301,,1.0
p96,p266,Undirected,302,,4.0
p97,p180,Undirected,303,,2.0
p98,p125,Undirected,304,,2.0
p98,p126,Undirected,305,,2.0
p98,p100,Undirected,306,,4.0
p98,p315,Undirected,307,,2.0
p99,p579,Undirected,308,,2.0
p102,p508,Undirected,309,,1.0
p103,p216,Undirected,310,,2.0
p103,p469,Undirected,311,,2.0
p104,p3,Undirected,312,,1.0
p104,p111,Undirected,313,,2.0
p104,p132,Undirected,314,,2.0
p104,p156,Undirected,315,,2.0
p104,p164,Undirected,316,,2.0
p104,p211,Undirected,317,,2.0
p104,p351,Undirected,318,,2.0
p105,p21,Undirected,319,,1.0
p105,p107,Undirected,320,,4.0
p105,p162,Undirected,321,,2.0
p105,p319,Undirected,322,,2.0
p105,p347,Undirected,323,,2.0
p105,p378,Undirected,324,,4.0
p105,p406,Undirected,325,,2.0
p106,p369,Undirected,326,,2.0
p106,p440,Undirected,327,,2.0
p107,p238,Undirected,328,,2.0
p109,p167,Undirected,329,,2.0
p109,p416,Undirected,330,,2.0
p110,p124,Undirected,331,,1.0
p112,p132,Undirected,332,,2.0
p112,p148,Undirected,333,,2.0
p112,p385,Undirected,334,,2.0
p112,p387,Undirected,335,,2.0
p112,p586,Undirected,336,,1.0
p113,p124,Undirected,337,,2.0
p114,p126,Undirected,338,,2.0
p114,p128,Undirected,339,,2.0
p114,p197,Undirected,340,,2.0
p115,p354,Undirected,341,,2.0
p116,p299,Undirected,342,,2.0
p116,p394,Undirected,343,,2.0
p116,p570,Undirected,344,,4.0
p117,p11,Undirected,345,,1.0
p117,p53,Undirected,346,,1.0
p117,p162,Undirected,347,,2.0
p117,p278,Undirected,348,,2.0
p117,p312,Undirected,349,,2.0
p117,p355,Undirected,350,,2.0
p120,p174,Undirected,351,,4.0
p122,p283,Undirected,352,,2.0
p123,p16,Undirected,353,,1.0
p124,p174,Undirected,354,,2.0
p124,p427,Undirected,355,,2.0
p126,p267,Undirected,356,,2.0
p128,p311,Undirected,357,,1.0
p129,p329,Undirected,358,,1.0
p130,p178,Undirected,359,,2.0
p130,p472,Undirected,360,,2.0
p131,p36,Undirected,361,,1.0
p131,p388,Undirected,362,,2.0
p132,p387,Undirected,363,,2.0
p132,p520,Undirected,364,,2.0
p133,p97,Undirected,365,,1.0
p133,p147,Undirected,366,,2.0
p133,p156,Undirected,367,,2.0
p133,p169,Undirected,368,,2.0
p133,p253,Undirected,369,,1.0
p133,p325,Undirected,370,,2.0
p133,p535,Undirected,371,,2.0
p136,p282,Undirected,372,,4.0
p140,p250,Undirected,373,,2.0
p140,p554,Undirected,374,,2.0
p141,p208,Undirected,375,,2.0
p141,p444,Undirected,376,,1.0
p141,p495,Undirected,377,,2.0
p143,p178,Undirected,378,,4.0
p143,p336,Undirected,379,,2.0
p145,p336,Undirected,380,,2.0
p146,p185,Undirected,381,,2.0
p148,p463,Undirected,382,,2.0
p148,p447,Undirected,383,,2.0
p149,p173,Undirected,384,,2.0
p150,p229,Undirected,385,,2.0
p150,p481,Undirected,386,,2.0
p151,p360,Undirected,387,,4.0
p151,p530,Undirected,388,,4.0
p151,p531,Undirected,389,,2.0
p152,p36,Undirected,390,,1.0
p152,p275,Undirected,391,,2.0
p152,p277,Undirected,392,,2.0
p152,p386,Undirected,393,,2.0
p153,p586,Undirected,394,,1.0
p153,p548,Undirected,395,,2.0
p153,p430,Undirected,396,,2.0
p155,p335,Undirected,397,,2.0
p155,p402,Undirected,398,,2.0
p156,p175,Undirected,399,,2.0
p156,p558,Undirected,400,,2.0
p156,p573,Undirected,401,,2.0
p157,p163,Undirected,402,,2.0
p157,p328,Undirected,403,,4.0
p157,p518,Undirected,404,,4.0
p158,p359,Undirected,405,,2.0
p159,p246,Undirected,406,,4.0
p160,p9,Undirected,407,,1.0
p161,p242,Undirected,408,,4.0
p162,p277,Undirected,409,,2.0
p162,p299,Undirected,410,,2.0
p162,p311,Undirected,411,,2.0
p162,p496,Undirected,412,,2.0
p162,p518,Undirected,413,,2.0
p163,p231,Undirected,414,,2.0
p163,p329,Undirected,415,,2.0
p164,p176,Undirected,416,,2.0
p164,p574,Undirected,417,,2.0
p165,p392,Undirected,418,,2.0
p165,p426,Undirected,419,,2.0
p167,p329,Undirected,420,,2.0
p167,p381,Undirected,421,,4.0
p168,p218,Undirected,422,,1.0
p168,p277,Undirected,423,,2.0
p168,p547,Undirected,424,,2.0
p169,p191,Undirected,425,,2.0
p170,p64,Undirected,426,,1.0
p170,p255,Undirected,427,,2.0
p170,p476,Undirected,428,,2.0
p170,p502,Undirected,429,,2.0
p170,p542,Undirected,430,,2.0
p170,p179,Undirected,431,,2.0
p171,p348,Undirected,432,,4.0
p172,p3,Undirected,433,,1.0
