"rank","name","score","profession","age"
"126","Emma Thompson","6.67","Actress","53"
"127","Antonio Banderas","6.66","Actor, Director, Musician, Producer, Voice (Animated project)","51"
"128","Orlando Bloom","6.65","Actor, Producer","35"
"128","Susan Sarandon","6.65","Actress, Producer, Singer (Cameo)","65"
"130","Don Cheadle","6.64","Actor, Producer, Singer (Cameo)","47"
"130","Kiefer Sutherland","6.64","Actor","45"
"132","Tim Robbins","6.60","Actor, Director, Producer, Singer (Cameo), Writer","53"
"132","Billy Bob Thornton","6.60","Actor, Musician, Writer","56"
"134","Ice Cube","6.57","Actor, Composer, Director, Producer, Rapper, Singer (Cameo), Writer","43"
"134","Benicio Del Toro","6.57","Actor, Director, Producer, Writer","45"
"134","Kirsten Dunst","6.57","Actress, Director, Singer (Cameo), Writer","30"
"134","Diane Lane","6.57","Actress","47"
"138","Vin Diesel","6.56","Actor, Director, Producer, Writer","45"
"139","Ricky Gervais","6.53","Actor, Comedian, Director, Producer, Writer","51"
"139","Jason Statham","6.53","Actor","39"
"141","Tim Allen","6.52","Actor, Comedian, Producer","59"
"142","Josh Brolin","6.49","Actor, Director, Producer, Writer","44"
"143","Queen Latifah (Dana Elaine Owens)","6.45","Actress, Producer, Rapper, Singer","42"
"144","Robert Duvall","6.42","Actor, Director, Producer, Singer (Cameo), Writer","81"
"145","Ethan Hawke","6.37","Actor, Director, Singer (Cameo), Writer","41"
"146","Matthew Broderick","6.36","Actor, Director, Producer, Singer (Cameo), Stage Performer (Musical), Writer","50"
"147","Diane Keaton","6.34","Actress, Director, Producer, Singer (Cameo), Writer","66"
"148","Michael Cera","6.33","Actor, Director, Producer, Singer (Cameo), Writer","24"
"149","Ryan Gosling","6.32","Actor, Musician, Producer","31"
"150","Jessica Biel","6.31","Actress, Producer","30"
"151","Annette Bening","6.29","Actress","54"
"152","Glenn Close","6.28","Actress, Producer, Singer (Cameo), Stage Performer (Musical), Stage Performer (Play)","65"
"153","Lindsay Lohan","6.26","Actress, Model, Musician","26"
"154","Ralph Fiennes","6.25","Actor, Director, Producer, Singer (Cameo)","49"
"155","Frances McDormand","6.24","Actress","55"
"155","Meg Ryan","6.24","Actress, Producer, Singer (Cameo)","50"
"157","Ed Harris","6.23","Actor, Director, Producer, Writer","61"
"158","Gerard Butler","6.21","Actor, Producer, Singer (Cameo)","42"
"159","Amy Adams","6.19","Actress, Musician","37"
"160","Kevin James","6.14","Actress, Producer, Singer (Cameo), Writer","47"
"160","Ben Kingsley","6.14","Actor, Singer (Cameo)","68"
"162","Jason Bateman","6.09","Actor, Director","43"
"162","Michael Caine","6.09","Actor, Producer, Singer (Cameo)","79"
"162","Aaron Eckhart","6.09","Actor, Producer","44"
"162","Tina Fey","6.09","Actress, Producer, Singer (Cameo), Writer","42"
"162","Kurt Russell","6.09","Actor","61"
"167","Adrien Brody","6.05","Actor, Composer, Producer","39"
"168","Daniel Radcliffe","6.03","Actor","23"
"169","Ashley Judd","6.01","Actress, Singer (Cameo)","44"
"170","Warren Beatty","6.00","Actor, Director, Producer, Writer","75"
"170","Christopher Walken","6.00","Actor","69"
"172","Kevin Kline","5.97","Actor, Director, Singer (Cameo)","64"
"172","Ellen Page","5.97","Actress, Singer (Cameo)","25"
"174","Woody Harrelson","5.95","Actor, Singer (Cameo)","51"
"174","Mark Ruffalo","5.95","Actor, Director, Producer, Writer","44"
"176","Laura Linney","5.94","Actress","48"
"177","Jeff Bridges","5.93","Actor, Composer, Producer, Singer (Cameo)","62"
"177","Miley Cyrus","5.93","Actress, Singer","18"
"179","Luke Wilson","5.90","Actor","40"
"180","Justin Timberlake","5.87","Actor, Musician, Singer","31"
"181","Sienna Miller","5.84","Actress","30"
"182","Chris Tucker","5.83","Actor","39"
"183","John Malkovich","5.79","Actor, Director, Producer, Writer","58"
"184","Judi Dench","5.74","Actress","77"
"184","Gary Oldman","5.74","Actor, Director, Producer, Singer (Cameo), Writer","54"
"186","Jeremy Irons","5.72","Actor, Director, Singer (Cameo)","63"
"187","Greg Kinnear","5.71","Actor, Producer, Singer (Cameo), Writer","49"
"188","Gael Garcia Bernal","5.70","Actor, Director, Producer, Writer","33"
"189","Laurence Fishburne","5.69","Actor, Director, Producer, Writer","50"
"190","Kevin Bacon","5.68","Actor, Director, Musician, Producer, Singer","54"
"190","Sigourney Weaver","5.68","Actress, Producer","62"
"192","Zac Efron","5.67","Actor, Singer","24"
"193","Terrence Howard","5.66","Actor, Producer, Singer (Cameo)","43"
"194","Geoffrey Rush","5.64","Actor, Singer (Cameo)","61"
"195","John C. Reilly","5.62","Actor, Singer (Cameo), Writer","47"
"196","Jonathan Rhys-Meyers","5.61","Actor, Singer (Cameo)","34"
"197","Billy Crystal","5.58","Actor, Director, Producer, Singer (Cameo), Writer","64"
"197","Dakota Fanning","5.58","Actress","18"
"199","Alec Baldwin","5.57","Actor, Director, Producer, Writer","54"
"199","Maggie Gyllenhaal","5.57","Actress, Singer (Cameo)","34"
"199","Liev Schreiber","5.57","Actor, Director, Writer","44"
"202","Kenneth Branagh","5.54","Actor, Director, Producer, Singer (Cameo), Writer","51"
"202","James Franco","5.54","Actor, Director, Producer, Singer (Cameo), Writer","34"
"204","Patrick Dempsey","5.52","Actor, Director","46"
"205","Chris Rock","5.49","Actor, Comedian, Director, Producer, Singer (Cameo), Writer","47"
"206","Colin Firth","5.47","Actor, Producer, Singer (Cameo), Writer","51"
"206","Ryan Reynolds","5.47","Actor","35"
"206","Liv Tyler","5.47","Actress","35"
"209","Gerard Depardieu","5.46","Actor, Director, Producer, Singer (Cameo)","63"
"210","Beyonce Knowles","5.45","Actress, Composer, Producer, Singer","30"
"211","Barbra Streisand","5.42","Actress, Director, Producer","70"
"212","Ryan Phillippe","5.41","Actor","37"
"213","Christina Ricci","5.39","Actress, Producer, Singer (Cameo)","32"
"214","Peter Sarsgaard","5.37","Actor","41"
"215","Emile Hirsch","5.36","Actor, Singer (Cameo)","27"
"216","Ray Romano","5.34","Actor, Producer, Writer","54"
"217","Josh Hartnett","5.29","Actor, Producer","34"
"218","Charlie Sheen","5.26","Actor, Producer, Writer","46"
"219","Paul Rudd","5.24","Actor, Producer, Singer (Cameo), Writer","43"
"220","Emily Blunt","5.23","Actress","29"
"220","Eva Mendes","5.23","Actress, Producer","38"
"222","Yun-Fat Chow","5.21","Actor","57"
"223","William H. Macy","5.20","Actor, Director, Producer, Writer","62"
"224","Casey Affleck","5.19","Actor, Producer, Writer","36"
"224","Ziyi Zhang","5.19","Actress","33"
"226","Matt Dillon","5.18","Actor, Director, Writer","48"
"227","Nathan Lane","5.17","Actor, Producer, Singer","56"
"227","Kristin Scott Thomas","5.17","Actress","52"
"227","Robin Wright Penn","5.17","Actress","46"
"230","Zach Braff","5.16","Actor, Director, Producer, Writer","37"
"230","Hilary Duff","5.16","Actress, Producer, Singer","24"
"232","Jonah Hill","5.15","Actor, Singer (Cameo), Writer","28"
"232","Helen Hunt","5.15","Actress, Director, Producer, Writer","49"
"234","Anna Faris","5.13","Actress, Producer, Singer (Cameo)","35"
"235","Edward Burns","5.12","Actor, Director, Producer, Writer","44"
"235","Hayden Christensen","5.12","Actor, Producer","31"
"235","Topher Grace","5.12","Actor, Producer, Singer (Cameo), Writer","34"
"235","Emily Watson","5.12","Actress","45"
"239","Elizabeth Banks","5.10","Actress, Producer","38"
"239","Juliette Binoche","5.10","Actress","48"
"239","Claire Danes","5.10","Actress","33"
"239","Andy Garcia","5.10","Actor, Composer, Director, Producer, Singer (Cameo)","56"
"239","Tilda Swinton","5.10","Actress","51"
"239","Elijah Wood","5.10","Actor","31"
"245","Goldie Hawn","5.08","Actor, Director, Producer, Singer (Cameo)","66"
"245","Katie Holmes","5.08","Actress","33"
"245","Dennis Hopper","5.08","Actor, Director, Writer","76"
"245","Mandy Moore","5.08","Actress, Singer","28"
"249","Roberto Benigni","5.05","Actor, Director, Producer, Writer","59"
"249","Marion Cotillard","5.05","Actress","36"
"249","Billy Crudup","5.05","Actor, Stage Performer (Play)","44"
"249","Milla Jovovich","5.05","Actress, Composer, Singer (Cameo)","36"
"253","Kim Basinger","5.03","Actress","58"
"253","Tim Roth","5.03","Actor, Director, Singer (Cameo)","51"
"255","Ian McKellen","5.02","Actor, Producer, Singer (Cameo), Writer","73"
"256","Jon Favreau","5.00","Actor, Director, Producer, Writer","45"
"256","Audrey Tautou","5.00","Actress","35"
"258","Kate Bosworth","4.98","Actress","29"
"258","Amanda Bynes","4.98","Actress, Singer (Cameo)","26"
"258","Djimon Hounsou","4.98","Actor","48"
"258","Jason Schwartzman","4.98","Actor, Musician, Singer (Cameo), Writer","32"
"262","Rowan Atkinson","4.97","Actor, Director, Producer, Writer","57"
"263","Matthew Fox","4.95","Actor","46"
"263","Jon Heder","4.95","Actor, Producer","34"
"263","Jean Reno","4.95","Actress","63"
"263","Marlon Wayans","4.95","Actor, Director, Producer, Writer","40"
"267","Sarah Michelle Gellar","4.94","Actress, Singer (Cameo)","35"
"268","Helena Bonham Carter","4.93","Actor, Singer (Cameo), Voice (Animated project)","46"
"268","Steve Buscemi","4.93","Actor, Director, Producer, Singer (Cameo), Writer","54"
"268","Dane Cook","4.93","Actor, Comedian, Director, Producer, Writer","40"
"268","Hugh Laurie","4.93","Actor, Composer, Director, Producer, Singer (Cameo), Writer","53"
"272","Chris Cooper","4.92","Actor","61"
"272","Damon Wayans","4.92","Actor","51"
"274","Paul Bettany","4.90","Actor","41"
"274","Jessica Lange","4.90","Actress, Producer","63"
"274","Eva Longoria Parker","4.90","Actress, Producer","37"
"277","John Turturro","4.87","Actor","55"
"278","Albert Brooks","4.86","Actor, Director, Singer (Cameo), Writer","65"
"279","Bette Midler","4.85","Actress, Composer, Producer, Singer, Writer","66"
"279","Amy Poehler","4.85","Actress, Producer, Singer (Cameo), Writer","40"
"281","David Duchovny","4.84","Actor, Director, Producer, Writer","51"
"281","Michael Keaton","4.84","Actor, Director, Producer","60"
"281","Nick Nolte","4.84","Actor, Producer","71"
"281","Martin Sheen","4.84","Actor, Director, Producer","71"
"285","Abigail Breslin","4.83","Actress","16"
"285","Christopher Guest","4.83","Actor, Composer, Director, Producer, Writer","64"
"285","William Hurt","4.83","Actor, Producer","62"
"285","Guy Pearce","4.83","Actor, Singer (Cameo)","44"
"285","Channing Tatum","4.83","Actor","32"
"290","Willem Dafoe","4.82","Actor, Producer, Writer","57"
"290","Danny DeVito","4.82","Actor, Director, Producer, Singer (Cameo), Writer","67"
"290","Jennifer Hudson","4.82","Actress, Reality TV, Singer","30"
"290","Stanley Tucci","4.82","Actor","51"
"290","Jon Voight","4.82","Actor","73"
"295","Emily Mortimer","4.81","Actress","40"
"295","Michelle Williams","4.81","Actress","31"
"297","Selma Blair","4.80","Actress","40"
"297","Rosario Dawson","4.80","Actor, Producer, Singer (Cameo)","33"
"297","James Gandolfini","4.80","Actor, Producer, Singer (Cameo)","50"
"297","Holly Hunter","4.80","Actress, Producer","54"
"297","Tom Wilkinson","4.80","Actor","63"
"302","Joan Allen","4.79","Actress","55"
"302","Steve Coogan","4.79","Actor, Composer, Producer, Writer","46"
"302","Anjelica Huston","4.79","Actress, Director, Producer","61"
"302","Jeremy Piven","4.79","Actor, Producer","47"
"302","Keri Russell","4.79","Actress, Singer (Cameo)","36"
"307","Alan Rickman","4.78","Actor, Director, Producer, Singer (Cameo), Writer","66"
"308","Thomas Haden Church","4.77","Actor, Director, Producer, Writer","52"
"308","Catherine Deneuve","4.77","Actress, Producer, Singer (Cameo)","68"
"310","Josh Lucas","4.76","Actor, Producer, Singer (Cameo)","41"
"311","Bryce Dallas Howard","4.75","Actress, Director, Writer","31"
"311","Sam Rockwell","4.75","Actor","43"
"313","Toni Collette","4.74","Actress, Producer, Singer (Cameo)","39"
"313","Gong Li","4.74","Actress","46"
"313","Simon Pegg","4.74","Actor, Director, Producer, Singer (Cameo), Writer","42"
"316","Gabriel Byrne","4.73","Actor, Director, Producer, Writer","62"
"316","Seann William Scott","4.73","Actor, Producer","35"
"318","Justin Long","4.72","Actor, Singer (Cameo)","34"
"318","Gary Sinise","4.72","Actor","57"
"318","Sharon Stone","4.72","Actress","54"
"321","Cuba Gooding","4.71","Actor, Producer","44"
"322","Lucy Liu","4.70","Actress, Producer, Singer (Cameo)","43"
"322","Jim Sturgess","4.70","Actor","31"
"324","Richard Dreyfuss","4.69","Actor, Director, Producer, Singer (Cameo), Writer","64"
"324","Kelsey Grammer","4.69","Actor, Director, Producer, Singer (Cameo), Writer","57"
"326","America Ferrera","4.68","Actress, Producer, Singer (Cameo)","28"
"326","Mary-Louise Parker","4.68","Actress, Singer (Cameo)","47"
"326","Patrick Stewart","4.68","Actor","72"
"329","Marisa Tomei","4.67","Actress","47"
"329","Ken Watanabe","4.67","Actor","52"
"331","Ray Liotta","4.66","Actor, Producer, Singer (Cameo)","57"
"332","Monica Bellucci","4.65","Actress, Model","47"
"332","Jeff Daniels","4.65","Actor, Director, Musician, Stage Performer (Play), Writer","57"
"332","Catherine Keener","4.65","Actress, Producer","53"
"332","Harvey Keitel","4.65","Actress, Producer","73"
"332","Michelle Monaghan","4.65","Actress","36"
"332","Cillian Murphy","4.65","Actor, Singer (Cameo)","36"
"332","Winona Ryder","4.65","Actress, Producer, Singer (Cameo)","40"
"332","Julia Stiles","4.65","Actress","31"
"332","Paul Walker","4.65","Actor","38"
"341","Courteney Cox Arquette","4.64","Actress, Director, Producer","48"
"341","Isla Fisher","4.64","Actress, Producer","36"
"341","Michelle Yeoh","4.64","Actress","49"
"344","Denis Leary","4.62","Actor, Composer, Director, Producer, Singer (Cameo), Writer","54"
"344","Amanda Peet","4.62","Actress","40"
"346","John Cleese","4.61","Actor, Director, Producer, Writer","72"
"346","Megan Fox","4.61","Actress","26"
"346","Val Kilmer","4.61","Actor, Director, Producer, Singer (Cameo)","52"
"346","Mickey Rourke","4.61","Actor, Singer (Cameo), Writer","55"
"346","Wesley Snipes","4.61","Actor, Producer","49"
"351","Danny Glover","4.59","Actor, Director, Producer, Singer (Cameo), Writer","66"
"351","Samantha Morton","4.59","Actress, Director, Singer (Cameo)","35"
"353","Jim Caviezel","4.57","Actor","43"
"353","Jane Fonda","4.57","Actress, Producer","74"
"353","50 Cent (Curtis Jackson)","4.57","Actor, Director, Musician, Producer, Rapper, Writer","37"
"356","Jason Biggs","4.56","Actor, Producer","34"
"356","Jason Patric","4.56","Actor, Producer","46"
"358","Tea Leoni","4.55","Actress, Producer","46"
"358","Patrick Wilson","4.55","Actor","39"
"360","Kathy Bates","4.54","Actress, Director, Producer","64"
"360","Christian Slater","4.54","Actor","42"
"362","Taye Diggs","4.53","Actor, Producer, Singer (Cameo)","41"
"362","Kyra Sedgwick","4.53","Actress, Producer","46"
"364","Patricia Clarkson","4.52","Actress, Singer (Cameo)","52"
"364","Minnie Driver","4.52","Actress, Producer","42"
"364","Joseph Fiennes","4.52","Actor, Director, Producer","42"
"364","Jared Leto","4.52","Actor, Musician, Producer, Singer","40"
"368","Parker Posey","4.51","Actress, Singer (Cameo), Writer","43"
"368","Jason Segel","4.51","Actor, Writer","32"
"368","David Strathairn","4.51","Actor","63"
"371","Felicity Huffman","4.50","Actress","49"
"371","Donald Sutherland","4.50","Actor","77"
"373","John Goodman","4.49","Actor, Producer, Singer (Cameo)","60"
"373","Johnny Knoxville","4.49","Actor, Producer, Writer","41"
"373","Cedric the Entertainer (Cedric Kyles)","4.49","Actor, Director, Producer, Writer","48"
"373","James Marsden","4.49","Actor, Singer (Cameo)","38"
"373","Matthew Perry","4.49","Actor, Director, Producer, Singer (Cameo), Writer","42"
"373","Rainn Wilson","4.49","Actor","46"
"379","Martin Short","4.47","Actor, Producer, Writer","62"
"379","LL Cool J (James Todd Smith)","4.47","Actor, Producer, Rapper, Singer","44"
"379","Steve Zahn","4.47","Actor","45"
"382","John Krasinski","4.46","Actor, Director, Singer (Cameo), Writer","32"
"383","Angela Bassett","4.45","Actress, Director, Producer","53"
"383","Josh Duhamel","4.45","Actor, Model, Singer (Cameo)","39"
"383","Carrie-Anne Moss","4.45","Actress","44"
"383","Sam Neill","4.45","Actor, Director, Producer, Writer","64"
"387","Aishwarya Rai Bachchan","4.44","Actress, Model","38"
"388","Marcia Gay Harden","4.43","Actress","52"
"388","Bill Paxton","4.43","Director, Producer, Singer (Cameo), Writer","57"
"388","Vanessa Redgrave","4.43","Actress, Producer, Singer (Cameo)","75"
"388","Jeffrey Wright","4.43","Actor","46"
"392","Maria Bello","4.41","Actress","45"
"393","Lisa Kudrow","4.40","Actress, Producer, Singer (Cameo), Writer","43"
"393","Stellan Skarsgard","4.40","Actor","61"
"393","Gabrielle Union","4.40","Actress","39"
"393","Evan Rachel Wood","4.40","Actress","24"
"397","James Woods","4.39","Actor","65"
"398","P. Diddy (Sean Combs)","4.38","Actor, Director, Producer, Rapper","42"
"399","Debra Messing","4.37","Actress, Producer","43"
"400","Paul Dano","4.35","Actor, Producer, Singer (Cameo)","28"
"400","Stephen Rea","4.35","Actor, Writer","65"
"400","Emmy Rossum","4.35","Actress, Singer (Cameo)","25"
"403","Jada Pinkett Smith","4.33","Actress, Director, Producer, Writer","40"
"403","Rebecca Romijn","4.33","Actress","39"
"405","Julie Delpy","4.31","Actress, Composer, Director, Producer, Singer (Cameo), Writer","42"
"405","Jason Lee","4.31","Actor, Director, Producer, Singer (Cameo), Writer","42"
"405","David Spade","4.31","Actor","48"
