"Id","Label","Score","Rank","Age","Profession","Spouses","Dated","Total","Spouses1400","Dated1400","Total1400","p1400"
"p371","Paris Hilton",3.21,645,31,"Actress, Musician, Producer",1,17,18,0,7,7,38.9
"p372","Malcolm McDowell",3.21,645,69,"Actor, Producer",3,0,3,1,0,1,33.3
"p373","Matt LeBlanc",3.19,652,45,"Actor, Producer, Singer (Cameo)",1,2,3,0,1,1,33.3
"p374","Julian McMahon",3.19,652,43,"Actor, Producer",2,1,3,1,0,1,33.3
"p375","Emmanuelle Béart",3.18,656,48,"Actress",2,0,2,1,0,1,50
"p376","Vivica A. Fox",3.18,656,47,"Actress, Producer",1,5,6,0,2,2,33.3
"p378","Christopher Lambert",3.16,666,55,"Actor, Producer, Writer",3,2,5,2,0,2,40
"p379","Jaime Pressly",3.16,666,34,"Actress, Producer, Singer (Cameo)",1,7,8,0,1,1,12.5
"p380","Will Arnett",3.15,671,42,"Actor",2,0,2,2,0,2,100
"p381","Hank Azaria",3.15,671,48,"Actor, Director, Producer, Voice (Animated project), Writer",3,1,4,1,0,1,25
"p382","Kevin Pollak",3.15,671,54,"Actor, Producer, Writer",1,1,2,0,1,1,50
"p383","Amy Smart",3.15,671,36,"Actress",1,2,3,0,1,1,33.3
"p384","Leelee Sobieski",3.15,671,29,"Actress",1,2,3,0,1,1,33.3
"p385","Wilmer Valderrama",3.15,671,32,"Actor",0,17,17,0,9,9,52.9
"p387","Alyssa Milano",3.13,680,39,"Actress, Producer",2,16,18,0,5,5,27.8
"p388","Joy Bryant",3.12,683,35,"Actress, Model",1,2,3,0,1,1,33.3
"p389","Omar Epps",3.12,683,39,"Actor, Composer, Producer, Writer",1,1,2,0,1,1,50
"p390","Ben Foster",3.12,683,31,"Actor",0,5,5,0,4,4,80
"p391","Thomas Jane",3.12,683,43,"Actor, Director, Producer",2,1,3,1,1,2,66.7
"p392","Frankie Muniz",3.12,683,26,"Actor, Producer, Writer",0,2,2,0,2,2,100
"p393","Michael Vartan",3.12,683,43,"Actor",1,2,3,0,1,1,33.3
"p394","Gina Gershon",3.11,691,50,"Actress, Producer, Singer (Cameo)",0,9,9,0,5,5,55.6
"p395","Ashley Olsen",3.11,691,26,"Actress, Producer",1,6,7,1,2,3,42.9
"p396","Jonny Lee Miller",3.1,694,39,"Actor, Singer (Cameo)",2,4,6,1,1,2,33.3
"p398","Erika Christensen",3.09,696,29,"Actress, Singer (Cameo)",0,2,2,0,1,1,50
"p399","Natasha Henstridge",3.09,696,37,"Actress, Singer (Cameo)",3,1,4,0,1,1,25
"p400","Jerry O'Connell",3.09,696,38,"Actor, Director, Producer, Writer",1,6,7,1,2,3,42.9
"p401","Neil Patrick Harris",3.07,702,39,"Actor, Singer (Cameo)",1,1,2,0,1,1,50
"p403","Jeremy Sisto",3.07,702,37,"Actor",2,5,7,0,2,2,28.6
"p404","Vanessa L. Williams",3.06,709,49,"Actress",2,7,9,0,1,1,11.1
"p405","Lara Flynn Boyle",3.05,712,42,"Actress",0,9,9,0,6,6,66.7
"p406","Timothy Hutton",3.03,717,51,"Actor, Director, Producer, Singer (Cameo), Writer",2,6,8,1,4,5,62.5
"p407","Dax Shepard",3.03,717,37,"Actor",1,4,5,1,1,2,40
"p408","Shane West",3.03,717,34,"Actor",0,10,10,0,5,5,50
"p410","Michael Sheen",3,731,43,"Actor, Producer",3,0,3,2,0,2,66.7
"p411","Janeane Garofalo",2.98,741,47,"Actress, Director, Producer, Singer (Cameo), Writer",1,1,2,0,1,1,50
"p412","Pamela Anderson",2.97,745,45,"Actress, Producer",3,18,21,0,5,5,23.8
"p414","Sophie Marceau",2.96,750,45,"Actress, Director, Writer",3,0,3,1,0,1,33.3
"p415","Connie Nielsen",2.96,750,47,"Actress",1,1,2,0,1,1,50
"p416","Lili Taylor",2.95,759,45,"Actress",1,5,6,0,5,5,83.3
"p417","David Boreanaz",2.94,763,43,"Actor, Director, Producer",2,2,4,0,1,1,25
"p418","Robert Pattinson",2.94,763,26,"Actor",0,3,3,0,2,2,66.7
"p419","Jeffrey Dean Morgan",2.92,775,46,"Actor",2,0,2,1,0,1,50
"p420","Orlando Jones",2.91,779,44,"Actor, Producer, Singer (Cameo), Writer",1,1,2,0,1,1,50
"p421","Burt Reynolds",2.91,779,76,"Actor, Director, Producer, Singer (Cameo), Writer",2,11,13,0,3,3,23.1
"p422","Jeanne Tripplehorn",2.91,779,49,"Actress",1,1,2,1,1,2,100
"p423","Peter Krause",2.9,783,46,"Actor, Producer, Singer (Cameo)",0,2,2,0,1,1,50
"p424","Christine Taylor",2.9,783,40,"Actress",1,3,4,1,2,3,75
"p425","Leighton Meester",2.89,787,26,"Actress",0,3,3,0,2,2,66.7
"p426","Chad Michael Murray",2.89,787,30,"Actor, Writer",2,3,5,1,2,3,60
"p427","Candice Bergen",2.88,791,66,"Actress, Producer",2,9,11,0,3,3,27.3
"p428","Michael Imperioli",2.88,791,46,"Actor, Director, Producer, Writer",1,1,2,0,1,1,50
"p429","Lou Diamond Phillips",2.88,791,50,"Actor, Director, Producer, Singer (Cameo), Writer",3,1,4,0,1,1,25
"p433","Colin Hanks",2.85,811,34,"Actor, Producer, Singer (Cameo)",1,1,2,0,1,1,50
"p434","Ali Larter",2.85,811,36,"Actress, Producer",1,3,4,0,1,1,25
"p435","Macaulay Culkin",2.84,817,31,"Actor, Singer (Cameo)",1,1,2,0,1,1,50
"p436","Danny Huston",2.84,817,50,"Actor, Director",2,0,2,1,0,1,50
"p437","Matthew Lillard",2.84,817,42,"Actor, Producer, Singer (Cameo)",1,2,3,0,2,2,66.7
"p438","Benjamin McKenzie",2.83,827,33,"Actor",0,5,5,0,3,3,60
"p440","Michelle Rodriguez",2.82,829,34,"Actress, Producer",0,7,7,0,5,5,71.4
"p441","Milo Ventimiglia",2.82,829,35,"Actor",0,4,4,0,4,4,100
"p442","Jaime King",2.81,838,33,"Actress",1,6,7,0,4,4,57.1
"p443","Debra Winger",2.81,838,57,"Actress",2,5,7,1,2,3,42.9
"p444","Asia Argento",2.8,842,36,"Actress",1,5,6,0,3,3,50
"p445","Vincent Phillip D'Onofrio",2.79,846,53,"Actor, Director, Producer",2,0,2,1,0,1,50
"p448","Kristen Stewart",2.77,855,22,"Actress",0,2,2,0,2,2,100
"p449","David Carradine",2.72,873,75,"Actor, Composer, Director, Producer, Singer (Cameo), Writer",6,0,6,1,0,1,16.7
"p450","Martin Freeman",2.72,873,40,"Actor",1,1,2,0,1,1,50
"p451","Crispin Glover",2.72,873,48,"Actor, Director, Producer, Singer (Cameo), Writer",0,2,2,0,1,1,50
"p452","Mary Steenburgen",2.72,873,59,"Actress",2,0,2,2,0,2,100
"p453","Craig Bierko",2.71,882,47,"Actor, Stage Performer (Musical)",0,2,2,0,2,2,100
"p454","January Jones",2.71,882,34,"Actress",0,3,3,0,2,2,66.7
"p455","Jenny McCarthy",2.71,882,39,"Actress, Producer, Writer",1,2,3,0,1,1,33.3
"p456","Scott Caan",2.69,890,35,"Actor, Director, Producer, Writer",0,2,2,0,1,1,50
"p457","Greta Scacchi",2.67,896,52,"Actress",2,0,2,1,0,1,50
"p461","Faye Dunaway",2.63,923,71,"Actress, Director, Producer, Writer",3,1,4,0,1,1,25
"p462","Piper Perabo",2.63,923,35,"Actress",0,2,2,0,2,2,100
"p463","Rachael Leigh Cook",2.62,926,32,"Actress, Producer",1,10,11,0,6,6,54.5
"p464","Vincent Gallo",2.62,926,51,"Actor, Director",0,5,5,0,3,3,60
"p466","Ed Westwick",2.62,926,25,"Actor",0,3,3,0,2,2,66.7
"p467","Jennifer Tilly",2.6,934,53,"Actress",2,3,5,0,2,2,40
"p468","Jordana Brewster",2.59,936,32,"Actress",1,3,4,0,2,2,50
"p469","Claire Forlani",2.59,936,40,"Actress, Producer",1,6,7,1,6,7,100
"p470","Sandrine Bonnaire",2.58,940,45,"Actress, Director, Writer",2,0,2,1,0,1,50
"p471","Alyson Hannigan",2.57,941,38,"Actress, Singer (Cameo)",1,2,3,0,1,1,33.3
"p472","Cybill Shepherd",2.57,941,62,"Actress, Producer, Writer",4,2,6,0,1,1,16.7
"p474","Meagan Good",2.56,948,30,"Actress, Producer",1,2,3,0,1,1,33.3
"p475","Jill Clayburgh",2.55,951,68,"Actress, Singer (Cameo), Stage Performer (Musical)",1,1,2,0,1,1,50
"p476","Ginnifer Goodwin",2.55,951,34,"Actress",0,5,5,0,4,4,80
"p478","Penn Dayton Badgley",2.54,959,25,"Actor",0,2,2,0,1,1,50
"p480","Don Johnson",2.53,969,62,"Actor, Composer, Director, Producer, Singer, Writer",3,3,6,1,1,2,33.3
"p481","Idris Elba",2.5,976,39,"Actor",1,1,2,0,1,1,50
"p482","Edward Furlong",2.5,976,34,"Actor",2,4,6,1,1,2,33.3
"p483","Bai Ling",2.5,976,41,"Actress, Producer",0,8,8,0,2,2,25
"p486","James Van Der Beek",2.48,986,35,"Actor",2,1,3,0,1,1,33.3
"p487","Stephen Dorff",2.47,995,38,"Actor, Producer",0,7,7,0,1,1,14.3
"p488","Carrie Fisher",2.47,995,55,"Actress, Producer, Singer (Cameo), Writer",2,4,6,0,2,2,33.3
"p489","Anna Friel",2.46,997,36,"Actress",1,1,2,1,1,2,100
"p491","Maggie Q",2.43,1002,33,"Actor, Producer",0,2,2,0,1,1,50
"p494","Penelope Ann Miller",2.41,1007,48,"Actress",2,1,3,1,1,2,66.7
"p495","Estella Warren",2.4,1015,33,"Actress",0,8,8,0,5,5,62.5
"p496","Eliza Dushku",2.39,1016,31,"Actress, Producer",1,3,4,0,1,1,25
"p497","Amber Valletta",2.39,1016,38,"Actress",3,1,4,0,1,1,25
"p499","Jonathan Silverman",2.37,1028,45,"Actor",1,3,4,0,2,2,50
"p500","Mimi Rogers",2.35,1037,56,"Actress, Producer",3,4,7,1,2,3,42.9
"p501","Jason Behr",2.34,1042,38,"Actor",1,4,5,0,2,2,40
"p502","Sophia Bush",2.34,1042,30,"Actress",1,8,9,1,2,3,33.3
"p503","Bobby Cannavale",2.33,1047,41,"Actor, Singer (Cameo)",1,2,3,0,2,2,66.7
"p504","Danny Masterson",2.33,1047,36,"Actor, Producer, Singer (Cameo)",1,4,5,1,1,2,40
"p505","Damian Lewis",2.3,1059,41,"Actress, Producer",1,1,2,0,1,1,50
"p507","Olga Kurylenko",2.28,1068,32,"Actress, Writer",2,1,3,0,1,1,33.3
"p508","Nia Long",2.28,1068,41,"Actress, Singer (Cameo)",2,11,13,0,5,5,38.5
"p509","Michael Pitt",2.28,1068,31,"Actor, Musician, Singer (Cameo)",0,3,3,0,1,1,33.3
"p510","Jennifer Esposito",2.27,1074,39,"Actress, Singer (Cameo)",1,5,6,1,3,4,66.7
"p511","Frances Fisher",2.27,1074,60,"Actress",2,0,2,1,0,1,50
"p513","Dwight Yoakam",2.26,1080,55,"Actor, Musician",0,3,3,0,2,2,66.7
"p514","Embeth Davidtz",2.23,1088,46,"Actress",2,0,2,1,0,1,50
"p515","Tate Donovan",2.23,1088,48,"Actor, Director",1,5,6,0,3,3,50
"p516","Samantha Mathis",2.22,1092,42,"Actress, Singer (Cameo)",0,6,6,0,4,4,66.7
"p518","Denise Richards",2.19,1104,41,"Actress",1,8,9,1,4,5,55.6
"p519","Brooke Langton",2.17,1111,41,"Actress, Producer",2,2,4,0,1,1,25
"p520","Jenna Dewan",2.16,1115,31,"Actress, Dancer, Model",1,2,3,1,2,3,100
"p521","Christopher Masterson",2.16,1115,32,"Actor, Director, Producer",1,3,4,1,3,4,100
"p522","Alicia Witt",2.16,1115,36,"Actress",0,2,2,0,1,1,50
"p523","Dean Cain",2.15,1122,45,"Director, Producer, Writer",2,5,7,0,3,3,42.9
"p524","Anne Heche",2.14,1128,43,"Actress, Director, Producer, Writer",3,5,8,0,1,1,12.5
"p525","Kristanna Loken",2.14,1128,32,"Actress, Producer",1,1,2,0,1,1,50
"p526","Bijou Phillips",2.14,1128,32,"Actress, Singer",1,9,10,1,2,3,30
"p527","Vinessa Shaw",2.14,1128,36,"Actress",0,2,2,0,1,1,50
"p528","Leland Orser",2.13,1135,51,"Actor, Director, Writer",2,0,2,1,0,1,50
"p529","Joey Lauren Adams",2.1,1141,44,"Actress, Director, Writer",0,4,4,0,2,2,50
"p530","Elliott Gould",2.1,1141,73,"Actor, Producer, Singer (Cameo)",2,0,2,1,0,1,50
"p531","Kris Kristofferson",2.1,1141,76,"Actor, Musician",3,2,5,0,1,1,20
"p532","Shemar Moore",2.09,1150,42,"Actor",1,3,4,0,2,2,50
"p534","Corbin Bleu",2.07,1159,23,"Actor, Dancer, Model, Singer",0,5,5,0,2,2,40
"p535","Balthazar Getty",2.07,1159,37,"Actor, Producer",1,3,4,0,3,3,75
"p536","Barbara Hershey",2.07,1159,64,"Actress",3,1,4,1,1,2,50
"p537","Gabrielle Anwar",2.06,1165,42,"Actress",2,0,2,1,0,1,50
"p539","Elias Koteas",2.06,1165,51,"Actor",1,1,2,0,1,1,50
"p540","David Cross",2.04,1175,48,"Actor, Director, Producer, Writer",0,3,3,0,2,2,66.7
"p541","Natasha Lyonne",2.04,1175,33,"Actress, Producer",1,1,2,1,1,2,100
"p542","Laura Prepon",2.03,1179,32,"Actress, Producer, Singer (Cameo)",1,1,2,1,1,2,100
"p543","Donald Faison",1.99,1191,38,"Actor, Singer (Cameo)",2,2,4,0,1,1,25
"p544","Kevin Ian Pardue",1.99,1191,35,"Actor, Singer (Cameo), Writer",0,3,3,0,3,3,100
"p545","Breckin Meyer",1.98,1197,38,"Actor, Singer (Cameo), Writer",1,1,2,0,1,1,50
"p546","Johnathon Schaech",1.96,1199,42,"Actor, Director, Producer, Writer",2,0,2,1,0,1,50
"p547","Lauren Holly",1.95,1202,48,"Actress, Producer",3,3,6,1,3,4,66.7
"p549","Ione Skye",1.94,1207,41,"Actress",3,3,6,0,1,1,16.7
"p550","Maya Rudolph",1.93,1211,40,"Actress, Comedian",1,2,3,0,1,1,33.3
"p551","Jason London",1.91,1214,39,"Actor, Producer",2,4,6,0,3,3,50
"p552","Michael Rapaport",1.91,1214,42,"Actor, Director, Producer",1,1,2,0,1,1,50
"p553","Bruce Dern",1.89,1225,76,"Actor",3,0,3,1,0,1,33.3
"p554","Robin Givens",1.89,1225,47,"Actress",2,12,14,0,7,7,50
"p556","Annabella Sciorra",1.88,1233,52,"Actress, Producer",1,2,3,0,1,1,33.3
